,gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
0,0,21,27,0,2,0,2,4,121,0.35,0.2,0.2,0.2,0.0,0.05,0.15,0.2,0.2,0.15,0.15,0.15,6,8,8,8,7,6.0,9.0,7.0,7.0,6.0,5.0,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.14,3,7.0,1
1,0,21,22,0,2,0,2,4,121,0.6,0.0,0.0,0.4,0.0,0.0,0.15,0.2,0.2,0.15,0.15,0.15,6,8,8,8,7,7.0,8.0,7.0,8.0,5.0,6.0,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.54,3,7.0,1
2,0,21,23,0,2,0,2,4,121,0.3,0.05,0.15,0.4,0.05,0.05,0.15,0.2,0.2,0.15,0.15,0.15,6,8,8,8,7,7.0,6.0,8.0,7.0,6.0,8.0,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.61,3,7.0,1
3,0,21,24,0,3,0,2,4,121,0.3,0.1,0.2,0.1,0.1,0.2,0.15,0.2,0.2,0.15,0.15,0.15,6,8,8,8,7,5.0,6.0,7.0,7.0,6.0,6.0,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.21,3,6.0,1
4,0,21,25,0,2,0,2,4,121,0.5,0.0,0.3,0.1,0.0,0.1,0.15,0.2,0.2,0.15,0.15,0.15,6,8,8,8,7,4.0,9.0,7.0,4.0,6.0,4.0,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.25,3,6.0,0
5,0,21,30,0,2,0,2,4,121,0.35,0.15,0.25,0.1,0.05,0.1,0.15,0.2,0.2,0.15,0.15,0.15,6,8,8,8,7,7.0,6.0,7.0,4.0,6.0,7.0,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.34,3,6.0,1
6,0,21,28,0,2,0,2,4,121,0.5,0.0,0.25,0.1,0.0,0.15,0.15,0.2,0.2,0.15,0.15,0.15,6,8,8,8,7,7.0,6.0,8.0,9.0,8.0,8.0,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.28,3,7.0,1
7,0,21,24,0,2,0,2,4,121,1.0,0.0,0.0,0.0,0.0,0.0,0.15,0.2,0.2,0.15,0.15,0.15,6,8,8,8,7,5.0,6.0,6.0,8.0,10.0,8.0,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,-0.36,3,6.0,1
8,0,24,27,2,2,1,2,5,121,0.35,0.2,0.2,0.2,0.0,0.05,0.45,0.05,0.25,0.2,0.0,0.05,7,5,10,8,3,5.0,7.0,8.0,4.0,6.0,3.0,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.29,4,6.0,0
9,0,24,22,2,2,1,2,5,121,0.6,0.0,0.0,0.4,0.0,0.0,0.45,0.05,0.25,0.2,0.0,0.05,7,5,10,8,3,8.0,5.0,6.0,6.0,9.0,6.0,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.18,4,7.0,0
